Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-05-02,301.2314453125,304.9498540934286,299.75196801132864,303.5492991043437,26404400
2023-05-03,300.2352294921875,304.38762034639154,299.9294732832105,302.42485692101525,22360800
2023-05-04,301.2314453125,303.5492991043437,299.24893609691674,302.05007617512933,22519900
2023-05-05,306.3996887207031,307.70163573887834,300.1069748995604,301.5371480771064,28181200
2023-05-08,304.4270935058594,305.95590471108136,301.9021214288919,305.886855215998,21318600
2023-05-09,302.7996520996094,305.798067506066,302.1190902129459,303.7859701846244,21340800
2023-05-10,308.03704833984375,308.7176103361282,303.4605473402384,304.3975316119031,30078000
2023-05-11,305.86712646484375,306.86331749159484,302.06982542632505,305.85728375074694,31680200
2023-05-12,304.7427062988281,306.39971349226784,302.40513720450423,306.30107566169744,19758100
2023-05-15,305.2259826660156,305.6599650264564,303.3815726841616,304.8709226074943,16336500
2023-05-16,307.47479248046875,309.4178403264206,305.59092131205534,305.59092131205534,26730300
2023-05-17,310.3809509277344,310.805987665317,307.1585148414656,308.6906682082903,24315000
2023-05-18,314.8487854003906,315.3628112808559,310.1041213959973,310.9047830696657,27276000
2023-05-19,314.6709289550781,315.07620706877765,312.7236332294624,313.089363921721,27529500
2023-05-22,317.4781799316406,318.8719323650163,314.3447331800345,314.9279294182539,24115700
2023-05-23,311.62640380859375,319.00041331686316,311.6165094129582,316.34141515317293,30797200
2023-05-24,310.2326354980469,312.85208611003424,309.00690697018507,311.10249762561375,23384900
2023-05-25,322.16357421875,323.1322597779971,316.31179277936076,319.514440028182,43301700
2023-05-26,329.05316162109375,329.557262905442,320.14700021896545,320.28537090840985,36630600
2023-05-30,327.392578125,331.8703656843112,326.71052841625755,331.3662642830376,29503100
2023-05-31,324.6050720214844,332.068040510102,323.557261568481,328.4601155465043,45950600
2023-06-01,328.7467956542969,329.6858583805687,320.9774015159204,322.17344706792653,26773900
2023-06-02,331.5342712402344,333.6100732849535,328.71711347710425,330.3975318385058,25864000
2023-06-05,332.06805419921875,334.6578520031515,330.80280831921186,331.3563515063498,21307100
2023-06-06,329.8341064453125,331.50463047248496,328.34153072317616,331.4650830529389,20396200
2023-06-07,319.6528015136719,330.6347357358875,318.7829393642212,327.8274725409219,40717100
2023-06-08,321.5111389160156,322.87523818509703,319.62314950969096,320.20634568769077,23277700
2023-06-09,323.0235290527344,326.1866287534683,320.6709553622718,321.2442571905946,22514900
2023-06-12,328.0251770019531,328.272295557753,321.4122820354807,324.7928469859533,24260300
2023-06-13,330.43707275390625,333.0960709582145,326.5820291272008,330.6149908830217,22951300
2023-06-14,333.4519348144531,335.1323532818647,328.97414719940065,330.4865117537338,26003800
2023-06-15,344.0879211425781,345.80785682788934,333.31355695255627,333.59032855899534,38899100
2023-06-16,338.3844299316406,347.4191004767098,338.0088349968938,347.270835349067,46533600
2023-06-20,334.1537170410156,338.1372671679203,331.9889559626245,335.39920428223814,26375400
2023-06-21,329.7154846191406,333.83743571716536,328.2426675673344,332.4930949848668,25117800
2023-06-22,335.7945861816406,336.1998642526837,329.4980099014051,330.2690186262127,23556800
2023-06-23,331.15863037109375,334.06474706177283,329.6067487340244,330.5062337501413,23084700
2023-06-26,324.8126525878906,332.236073875563,324.70390473147376,329.8736360460797,21520600
2023-06-27,330.7138671875,332.27564337179473,325.5045881093416,328.03508000658053,24354100
2023-06-28,331.9791259765625,334.0845812288216,329.9626297984468,330.80283905314866,20259500
2023-06-29,331.1882629394531,332.2360431601396,328.7862779146249,330.8521853371422,16997000
2023-06-30,336.61505126953125,338.7798124300312,333.3135506813242,333.85719948758003,26823800
2023-07-03,334.0944519042969,336.97091602046123,332.69083515294534,335.28063324744426,12508700
2023-07-05,334.2525634765625,337.7122233709409,330.8719984154976,331.22783466788746,18172400
2023-07-06,337.3365783691406,339.0367551947082,331.6330931118371,333.4123346002001,28161200
2023-07-07,333.3333435058594,337.8506788232005,333.115877927878,335.4091458109825,21185300
2023-07-10,328.0054016113281,331.3662382401782,323.81428038681094,330.74349462758727,32791400
2023-07-11,328.6380615234375,329.0235508256902,323.2311057346372,327.2443090989925,26698200
2023-07-12,333.31353759765625,337.71223002191914,331.8011731635339,332.7204469994857,29995300
2023-07-13,338.71063232421875,339.77817137425177,335.11257112633984,335.6463557342783,20567200
2023-07-14,341.2608642578125,347.3795227060363,340.3415903808926,343.5837849407625,28302200
2023-07-17,341.7452087402344,342.990665765801,338.2558958910491,341.69576692889177,20363900
2023-07-18,355.34661865234375,362.5526047903605,338.2262665964654,341.8440560109068,64872700
2023-07-19,350.9874267578125,358.28237161878195,348.37787039921096,357.5805633410372,39732900
2023-07-20,342.8720703125,353.8441409060029,341.3893588854277,349.4948600864259,33778400
2023-07-21,339.80780029296875,346.2625362851219,335.91320912576265,345.1257968698056,69368900
2023-07-24,341.13238525390625,342.9215516681207,338.3646690038991,341.8638768217147,26678100
2023-07-25,346.9347229003906,347.83423813906484,341.09283612999536,343.1093019955314,41637700
2023-07-26,333.876953125,340.6974499210077,329.2706592716007,337.504667075425,58383700
2023-07-27,326.908203125,337.3959003723981,325.25743786483986,336.5557213978174,39635300
2023-07-28,334.4700622558594,336.09117467563357,329.3300137158038,329.8242508926847,28484900
2023-07-31,332.04827880859375,333.80776174298603,329.5177570105008,333.0367530451251,25446000
2023-08-01,332.46343994140625,334.6380954513858,329.85388349527227,331.32670053812484,18311900
2023-08-02,323.7253112792969,329.7846631535933,322.59843617417204,329.7846631535933,27761300
2023-08-03,322.8949890136719,326.07787717606357,322.1931807711042,322.2425924152618,18253700
2023-08-04,324.0020751953125,331.277261063739,323.46829067572776,328.05482548758084,23727700
2023-08-07,326.3052673339844,327.2937417268037,323.74512227648364,324.585331543549,17741500
2023-08-08,322.2920227050781,324.96091529244745,319.27718825691414,323.19153790799385,22327600
2023-08-09,318.51605224609375,323.3397810015837,317.3496297643479,322.7071731999779,22373300
